Open,High,Low,Close,Volume,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,symbol
69355.6,69550.0,69232.15,69535.14,3365.49866,233539171.7349579,199547,1773.14889,123045993.5448953,BTCUSDT
3678.31,3705.82,3673.82,3705.08,36197.2754,133447823.409394,105895,16985.4628,62622968.456479,ETHUSDT
684.0,694.6,679.7,692.6,88129.486,60309209.7532,77469,47878.101,32782170.8945,BNBUSDT
0.4493,0.4493,0.4427,0.4469,25550069.6,11384941.05247,25732,12833522.1,5719705.54266,ADAUSDT
0.4991,0.5008,0.4969,0.5005,35910347.0,17926659.9051,20625,18304458.0,9138233.6836,XRPUSDT
162.51,163.78,160.88,163.45,485793.931,78900194.30975,91872,229937.521,37360760.9152,SOLUSDT
0.1482,0.14879,0.14728,0.14827,284312468.0,42104250.11278,67243,128632410.0,19051912.41059,DOGEUSDT
6.659,6.683,6.6,6.619,766719.61,5083421.29431,17340,341104.02,2262460.13574,DOTUSDT
33.51,33.73,33.3,33.58,294150.04,9864116.9,14836,153794.34,5156817.0481,AVAXUSDT
2.37e-05,2.415e-05,2.357e-05,2.402e-05,885851419843.0,21212599.46883325,248204,469897678741.0,11253640.68789246,SHIBUSDT
